datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest
01-07-2017 12:35,China >  Super League 2017,Guangzhou R&F - Chongqing Lifan,3:4 (0:1),36,93,"2,58","7,00",FALSE,TRUE,TRUE
01-07-2017 12:35,China >  Super League 2017,Jiāngsū Sūníng - Shanghai SIPG,0:1 (0:0),20,57,"2,85","1,00",FALSE,FALSE,FALSE
01-07-2017 12:35,China >  League One 2017,Beijing BG - Qingdao Huanghai,2:2 (1:1),12,37,"3,08","4,00",FALSE,TRUE,TRUE
01-07-2017 17:00,Norway >  Eliteserien 2017,Lillestrøm SK - Strømsgodset IF,2:0 (2:0),56,204,"3,64","2,00",TRUE,FALSE,FALSE
02-07-2017 12:35,China >  Super League 2017,Tianjin Quanjian FC - Guangzhou Evergrande,4:3 (0:1),8,27,"3,38","7,00",FALSE,TRUE,TRUE
02-07-2017 11:00,South Korea >  K League 1 2017,Jeonnam Dragons - Jeju United,2:2 (0:1),41,101,"2,46","4,00",FALSE,TRUE,TRUE
02-07-2017 22:00,USA >  Major League Soccer 2017,Philadelphia Union - New England Revolution,3:0 (1:0),44,124,"2,82","3,00",FALSE,FALSE,FALSE
05-07-2017 17:00,FIFA >   Friendlies Clubs 2017 > Week,FC Wacker Innsbruck - FC Augsburg,1:0,1,1,"1,00","1,00",FALSE,FALSE,FALSE
05-07-2017 02:00,Peru >  Primera División 2017 Apertura,Universidad San Martín - Universitario de Deportes,2:4 (1:2),56,130,"2,32","6,00",FALSE,TRUE,TRUE
05-07-2017 17:00,Peru >  Primera División 2017 Apertura,Sport Huancayo - Juan Aurich,3:0 (1:0),22,59,"2,68","3,00",FALSE,FALSE,FALSE
07-07-2017 17:00,FIFA >   Friendlies Clubs 2017 > Week,SKN St. Pölten - AS Monaco,0:3 (0:1),1,3,"3,00","3,00",FALSE,FALSE,FALSE
07-07-2017 12:35,China >  Super League 2017,Tianjin Quanjian FC - Guangzhou R&F,2:1 (1:1),8,30,"3,75","3,00",TRUE,TRUE,TRUE
08-07-2017 17:00,FIFA >   Friendlies Clubs 2017 > Week,FC Wacker Innsbruck - Dinamo Kiev,0:3,nan,nan,#VALUE!,"3,00",#VALUE!,FALSE,FALSE
08-07-2017 08:30,China >  Super League 2017,Yanbian FC - Chongqing Lifan,0:4 (0:0),16,61,"3,81","4,00",TRUE,FALSE,FALSE
08-07-2017 12:35,China >  Super League 2017,Jiāngsū Sūníng - Shanghai Shenhua,2:2 (2:0),32,94,"2,94","4,00",FALSE,TRUE,TRUE
08-07-2017 12:30,China >  League One 2017,Qingdao Huanghai - Zhejiang Yiteng FC,4:1 (2:1),8,22,"2,75","5,00",FALSE,TRUE,TRUE
09-07-2017 16:30,FIFA >   Friendlies Clubs 2017 > Week,WSG Wattens - Inter,1:2,nan,nan,#VALUE!,"3,00",#VALUE!,TRUE,TRUE
09-07-2017 12:35,China >  Super League 2017,Tianjin Teda - Shandong Taishan,0:2 (0:1),55,155,"2,82","2,00",FALSE,FALSE,FALSE
09-07-2017 14:00,Sweden >  Allsvenskan 2017,IFK Norrköping - IF Elfsborg,1:3 (0:2),131,432,"3,30","4,00",FALSE,TRUE,TRUE
10-07-2017 21:30,Peru >  Primera División 2017 Apertura,Universidad Técnica - Ayacucho FC,3:0 (1:0),25,67,"2,68","3,00",FALSE,FALSE,FALSE
14-07-2017 17:00,FIFA >   Friendlies Clubs 2017 > Week,FC Liefering - Manchester United U23,3:0,nan,nan,#VALUE!,"3,00",#VALUE!,FALSE,FALSE
14-07-2017 12:35,China >  Super League 2017,Tianjin Teda - Jiāngsū Sūníng,1:1 (0:0),24,56,"2,33","2,00",FALSE,TRUE,FALSE
14-07-2017 21:30,Peru >  Primera División 2017 Apertura,Universidad San Martín - Juan Aurich,4:1 (0:0),29,61,"2,10","5,00",FALSE,TRUE,TRUE
15-07-2017 14:15,FIFA >   Friendlies Clubs 2017 > Week,Bayern München - 1899 Hoffenheim,1:0 (1:0),34,115,"3,38","1,00",FALSE,FALSE,FALSE
15-07-2017 15:00,FIFA >   Friendlies Clubs 2017 > Week,Celtic FC - Olympique Lyonnais,0:4 (0:0),nan,nan,#VALUE!,"4,00",#VALUE!,FALSE,FALSE
15-07-2017 16:00,FIFA >   Friendlies Clubs 2017 > Week,1. FC Nürnberg - Inter,2:1 (0:0),1,3,"3,00","3,00",FALSE,TRUE,TRUE
15-07-2017 16:45,FIFA >   Friendlies Clubs 2017 > Week,Werder Bremen - Bayern München,0:2 (0:2),130,418,"3,22","2,00",FALSE,FALSE,FALSE
15-07-2017 08:30,China >  Super League 2017,Yanbian FC - Shanghai SIPG,1:3 (0:1),14,32,"2,29","4,00",FALSE,TRUE,TRUE
15-07-2017 12:35,China >  Super League 2017,Guangzhou Evergrande - Shandong Taishan,2:1 (1:0),40,108,"2,70","3,00",FALSE,TRUE,TRUE
15-07-2017 17:00,Norway >  Eliteserien 2017,Lillestrøm SK - Stabæk IF,2:2 (0:2),54,183,"3,39","4,00",FALSE,TRUE,TRUE
16-07-2017 12:35,China >  Super League 2017,Tianjin Quanjian FC - Shanghai Shenhua,3:0 (2:0),8,24,"3,00","3,00",FALSE,FALSE,FALSE
16-07-2017 17:00,Slovenia >  PrvaLiga 2017/2018,Rudar Velenje - NK Domžale,2:1 (1:1),52,153,"2,94","3,00",FALSE,TRUE,TRUE
17-07-2017 18:00,Sweden >  Allsvenskan 2017,IF Elfsborg - Hammarby IF,3:0 (3:0),94,284,"3,02","3,00",FALSE,FALSE,FALSE
18-07-2017 20:00,FIFA >   Friendlies Clubs 2017 > Week,Olympique Lyonnais - AFC Ajax,2:0 (1:0),nan,nan,#VALUE!,"2,00",#VALUE!,FALSE,FALSE
19-07-2017 12:20,FIFA >   Friendlies Clubs 2017 > Week,Bayern München - Arsenal FC,"2:3 (1:0, 1:1) pso",16,48,"3,00","5,00",FALSE,TRUE,TRUE
20-07-2017 18:30,FIFA >   Friendlies Clubs 2017 > Week,Almere City FC - Granada CF,3:3 (3:2),nan,nan,#VALUE!,"6,00",#VALUE!,TRUE,TRUE
20-07-2017 00:30,USA >  Major League Soccer 2017,New York City FC - Toronto FC,2:2 (1:1),27,92,"3,41","4,00",FALSE,TRUE,TRUE
21-07-2017 18:00,FIFA >   Friendlies Clubs 2017 > Week,Arminia Bielefeld - Norwich City,1:3 (1:2),2,8,"4,00","4,00",TRUE,TRUE,TRUE
21-07-2017 17:30,Austria >  2. Liga 2017/2018,Kapfenberger SV 1919 - FC Liefering,1:2 (1:1),33,105,"3,18","3,00",FALSE,TRUE,TRUE
