datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest,,,,
05-07-2018 00:00,USA >  Major League Soccer 2018,Minnesota United FC - Toronto FC,4:3 (2:1),4,21,"5,25","7,00",TRUE,TRUE,TRUE,,,10,"8,7"
06-07-2018 12:00,FIFA >   Friendlies Clubs 2018 > Week,Odense BK - FC Roskilde,4:2 (2:1),4,20,"5,00","6,00",TRUE,TRUE,TRUE,,,10,"8,7"
07-07-2018 14:00,FIFA >   Friendlies Clubs 2018 > Week,AFC Ajax - FC Nordsjælland,1:3 (0:0),2,8,"4,00","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
09-07-2018 17:00,FIFA >   Friendlies Clubs 2018 > Week,Vitesse - Shakhtar Donetsk,1:4 (0:1),1,5,"5,00","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
13-07-2018 16:30,FIFA >   Friendlies Clubs 2018 > Week,FK Dukla Praha - Hertha BSC,2:3,1,5,"5,00","5,00",TRUE,TRUE,TRUE,,"11,25%",10,"8,7"
13-07-2018 18:00,FIFA >   Friendlies Clubs 2018 > Week,Austria Wien - Borussia Dortmund,0:1 (0:1),4,18,"4,50","1,00",TRUE,FALSE,FALSE,,,10,-10
20-07-2018 16:00,FIFA >   Friendlies Clubs 2018 > Week,Beşiktaş - FK Krasnodar,3:1 (1:1),1,4,"4,00","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
21-07-2018 16:00,FIFA >   Friendlies Clubs 2018 > Week,1899 Hoffenheim - Queens Park Rangers,2:2 (1:0),2,7,"3,50","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
25-07-2018 18:00,FIFA >   Friendlies Clubs 2018 > Week,FC Utrecht - Kasımpaşa SK,1:4 (0:2),1,5,"5,00","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
27-07-2018 10:00,FIFA >   Friendlies Clubs 2018 > Week,Helmond Sport - Al Ettifaq,2:2 (2:2),1,4,"4,00","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
28-07-2018 16:00,FIFA >   Friendlies Clubs 2018 > Week,1899 Hoffenheim - sc Heerenveen,8:2 (5:0),1,10,"10,00","10,00",TRUE,TRUE,TRUE,,,10,"8,7"
28-07-2018 17:30,FIFA >   Friendlies Clubs 2018 > Week,Stade Rennais - Everton FC,4:1 (2:1),1,5,"5,00","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
28-07-2018 19:00,Belgium >  Pro League 2018/2019,SV Zulte Waregem - Waasland-Beveren,2:2 (1:0),27,95,"3,52","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
29-07-2018 12:45,Denmark >  1. Division 2018/2019,Silkeborg IF - Thisted FC,0:0 (0:0),6,21,"3,50","0,00",TRUE,FALSE,FALSE,,,10,-10
29-07-2018 20:00,Bolivia >  Liga Profesional 2018 Clausura,CD Guabirá - The Strongest,0:2 (0:1),39,139,"3,56","2,00",TRUE,FALSE,FALSE,,,20,-20
01-08-2018 21:00,FIFA >   Friendlies Clubs 2018 > Week,SL Benfica - Olympique Lyonnais,2:3 (0:2),5,21,"4,20","5,00",TRUE,TRUE,TRUE,,,30,"26,1"
03-08-2018 10:30,FIFA >   Friendlies Clubs 2018 > Week,Jong PSV - AZ Alkmaar (J),4:3 (3:2),15,56,"3,73","7,00",TRUE,TRUE,TRUE,,,20,"17,4"
03-08-2018 19:30,Germany >  2. Bundesliga 2018/2019,Hamburger SV - Holstein Kiel,0:3 (0:0),46,187,"4,07","3,00",TRUE,FALSE,FALSE,,,10,-10
04-08-2018 15:00,FIFA >   Friendlies Clubs 2018 > Week,Fulham FC - RC Celta,2:2 (2:2),1,4,"4,00","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
05-08-2018 21:00,Bolivia >  Liga Profesional 2018 Clausura,Bolívar - Sport Boys Warnes,3:3 (2:0),24,89,"3,71","6,00",TRUE,TRUE,TRUE,,,10,"8,7"
06-08-2018 22:15,Bolivia >  Liga Profesional 2018 Clausura,Real Potosí - The Strongest,0:3 (0:1),51,180,"3,53","3,00",TRUE,FALSE,FALSE,,,10,-10
07-08-2018 19:30,FIFA >   Friendlies Clubs 2018 > Week,Liverpool FC - Torino FC,3:1 (2:1),1,4,"4,00","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
09-08-2018 18:00,UEFA >   Europa League Qual. 2018/2019 > 3. Round,Sturm Graz - AEK Larnaca,0:2 (0:0),2,7,"3,50","2,00",TRUE,FALSE,FALSE,,,10,-10
09-08-2018 18:45,UEFA >   Europa League Qual. 2018/2019 > 3. Round,FC Nordsjælland - Partizan,1:2 (0:1),4,14,"3,50","3,00",TRUE,TRUE,TRUE,,,20,"17,4"
09-08-2018 19:00,UEFA >   Europa League Qual. 2018/2019 > 3. Round,Olympiakos Piraeus - FC Luzern,4:0 (3:0),2,8,"4,00","4,00",TRUE,FALSE,FALSE,,,10,-10
10-08-2018 18:30,FIFA >   Friendlies Clubs 2018 > Week,FC Volendam - AZ Alkmaar (J),3:3 (3:1),13,48,"3,69","6,00",TRUE,TRUE,TRUE,,,20,"17,4"
10-08-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Southampton FC U23 - Middlesbrough FC U23,2:0 (0:0),11,41,"3,73","2,00",TRUE,FALSE,FALSE,,,10,-10
11-08-2018 11:00,FIFA >   Friendlies Clubs 2018 > Week,Jong Ajax - SC Cambuur,1:2 (0:1),15,53,"3,53","3,00",TRUE,TRUE,TRUE,,,20,"17,4"
11-08-2018 13:00,England >  Premier League 2 Div. 2 2018/2019,Reading FC U23 - Wolverhampton Wanderers U23,2:2 (2:2),11,40,"3,64","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
12-08-2018 03:30,USA >  Major League Soccer 2018,Los Angeles Galaxy - Minnesota United FC,2:2 (1:0),17,68,"4,00","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
12-08-2018 13:30,Netherlands >  Eredivisie 2018/2019,De Graafschap - Feyenoord,2:0 (1:0),43,153,"3,56","2,00",TRUE,FALSE,FALSE,,,10,-10
12-08-2018 15:00,Switzerland >  Super League 2018/2019,FC Luzern - BSC Young Boys,2:3 (0:1),175,615,"3,51","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
13-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Newcastle United U23,1:1 (1:0),19,70,"3,68","2,00",TRUE,TRUE,FALSE,,,10,-10
16-08-2018 16:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,AEK Larnaca - Sturm Graz,5:0 (1:0),2,7,"3,50","5,00",TRUE,FALSE,FALSE,,,20,-20
16-08-2018 18:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,FC Luzern - Olympiakos Piraeus,1:3 (0:1),2,8,"4,00","4,00",TRUE,TRUE,TRUE,,,30,"26,1"
16-08-2018 19:30,UEFA >   Europa League Qual. 2018/2019 > 3. Round,Partizan - FC Nordsjælland,3:2 (3:1),4,14,"3,50","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
17-08-2018 19:00,England >  Premier League 2 2018/2019,Liverpool FC U23 - Tottenham Hotspur U23,1:1 (1:1),22,90,"4,09","2,00",TRUE,TRUE,FALSE,,,10,-10
17-08-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Manchester United U23 - Aston Villa U23,3:1 (1:1),6,21,"3,50","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
18-08-2018 19:00,Belgium >  Pro League 2018/2019,Cercle Brugge - SV Zulte Waregem,3:1 (1:0),38,136,"3,58","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
19-08-2018 13:30,Netherlands >  Eredivisie 2018/2019,Feyenoord - SBV Excelsior,3:0 (1:0),57,214,"3,75","3,00",TRUE,FALSE,FALSE,,,10,-10
19-08-2018 13:30,Netherlands >  Eredivisie 2018/2019,FC Emmen - AZ Alkmaar,1:4 (1:3),13,46,"3,54","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
19-08-2018 13:45,Denmark >  1. Division 2018/2019,FC Roskilde - Silkeborg IF,0:1 (0:1),9,34,"3,78","1,00",TRUE,FALSE,FALSE,,,10,-10
19-08-2018 16:00,Austria >  Bundesliga 2018/2019,Austria Wien - FC Admira Wacker,4:0 (2:0),280,1036,"3,70","4,00",TRUE,FALSE,FALSE,,,20,-20
20-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,Norwich City U23 - Reading FC U23,3:2 (1:2),18,64,"3,56","5,00",TRUE,TRUE,TRUE,,,30,"26,1"
20-08-2018 19:00,England >  Premier League 2 2018/2019,Arsenal FC U23 - Brighton & Hove Albion U23,1:1 (0:0),16,58,"3,63","2,00",TRUE,TRUE,FALSE,,,20,-20
20-08-2018 19:00,England >  Premier League 2 2018/2019,Swansea City U23 - Derby County U23,1:1 (1:0),6,27,"4,50","2,00",TRUE,TRUE,FALSE,,,30,-30
20-08-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,AZ Alkmaar (J) - Almere City FC,2:3 (0:3),14,53,"3,79","5,00",TRUE,TRUE,TRUE,,,40,"34,8"
24-08-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,Jong Ajax - FC Dordrecht,5:2 (2:1),23,84,"3,65","7,00",TRUE,TRUE,TRUE,,,30,"26,1"
25-08-2018 17:30,Netherlands >  Eredivisie 2018/2019,AFC Ajax - FC Emmen,5:0 (2:0),7,36,"5,14","5,00",TRUE,FALSE,FALSE,,,20,-20
26-08-2018 15:00,Denmark >  Superliga 2018/2019,Vendsyssel FF - Brøndby IF,1:2 (0:1),4,15,"3,75","3,00",TRUE,TRUE,TRUE,,,30,"26,1"
27-08-2018 14:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Norwich City U23,0:4 (0:3),18,70,"3,89","4,00",TRUE,FALSE,FALSE,,,20,-20
27-08-2018 19:45,Turkey >  SüperLig 2018/2019,Galatasaray - Alanyaspor,6:0 (1:0),22,77,"3,50","6,00",TRUE,FALSE,FALSE,,,30,-30
28-08-2018 19:30,FIFA >   Friendlies Clubs 2018 > Week,Bayern München - Chicago Fire,4:0 (2:0),1,4,"4,00","4,00",TRUE,FALSE,FALSE,,,40,-40
31-08-2018 18:10,Austria >  2. Liga 2018/2019,Kapfenberger SV 1919 - WSG Wattens,2:2 (2:0),11,40,"3,64","4,00",TRUE,TRUE,TRUE,,,50,"43,5"
